epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.306875,0.00231,90.00
002,00048,2.309102,0.00231,90.00
003,00048,2.125104,0.00204,75.13
004,00048,1.912677,0.00176,64.17
005,00048,1.787428,0.00158,58.25
006,00048,1.759734,0.00154,55.24
007,00048,1.689862,0.00149,52.89
008,00048,1.667212,0.00146,51.41
009,00048,1.637381,0.00142,50.75
010,00048,1.666466,0.00140,48.76
011,00048,1.598250,0.00144,51.75
012,00048,1.616962,0.00136,47.74
013,00048,1.632085,0.00140,49.16
014,00048,1.662575,0.00141,49.18
015,00048,1.585291,0.00134,47.52
016,00048,1.560065,0.00134,47.76
017,00048,1.584083,0.00140,50.82
018,00048,1.575757,0.00135,46.15
019,00048,1.571162,0.00135,47.78
020,00048,1.577779,0.00136,48.09
021,00048,1.541415,0.00135,48.44
022,00048,1.576338,0.00130,44.96
023,00048,1.559285,0.00131,44.02
024,00048,1.515183,0.00129,45.29
025,00048,1.562028,0.00129,45.77
026,00048,1.551187,0.00130,44.59
027,00048,1.508436,0.00126,44.51
028,00048,1.505305,0.00125,43.76
029,00048,1.520269,0.00127,44.38
030,00048,1.504797,0.00126,42.95
031,00048,1.508658,0.00127,44.03
032,00048,1.483105,0.00126,44.39
033,00048,1.486107,0.00123,43.26
034,00048,1.483341,0.00124,43.32
035,00048,1.477468,0.00123,43.25
036,00048,1.481737,0.00123,43.31
037,00048,1.481350,0.00121,42.21
038,00048,1.459428,0.00122,42.94
039,00048,1.474437,0.00121,42.85
040,00048,1.431828,0.00118,42.46
041,00048,1.463662,0.00120,41.62
042,00048,1.440194,0.00120,41.81
043,00048,1.420136,0.00118,41.08
044,00048,1.426610,0.00117,41.14
045,00048,1.405649,0.00120,43.01
046,00048,1.430751,0.00121,42.25
047,00048,1.386494,0.00118,41.32
048,00048,1.416534,0.00115,40.17
049,00048,1.411483,0.00119,41.65
050,00048,1.432658,0.00117,40.77
051,00048,1.402319,0.00116,41.06
052,00048,1.440979,0.00116,39.56
053,00048,1.419988,0.00115,39.94
054,00048,1.399757,0.00114,39.04
055,00048,1.422211,0.00115,40.05
056,00048,1.394325,0.00117,40.56
057,00048,1.393678,0.00113,38.81
058,00048,1.399919,0.00114,39.26
059,00048,1.388261,0.00112,39.30
060,00048,1.393984,0.00116,39.49
061,00048,1.394396,0.00114,39.84
062,00048,1.352961,0.00110,38.13
063,00048,1.339248,0.00111,38.71
064,00048,1.394166,0.00114,38.99
065,00048,1.400073,0.00113,38.73
066,00048,1.339967,0.00109,37.59
067,00048,1.336863,0.00109,37.86
068,00048,1.348210,0.00106,36.53
069,00048,1.307548,0.00108,37.23
070,00048,1.376528,0.00109,37.24
071,00048,1.313801,0.00104,36.13
072,00048,1.306606,0.00106,36.95
073,00048,1.291627,0.00106,36.35
074,00048,1.288695,0.00104,36.30
075,00048,1.329168,0.00105,36.03
076,00048,1.294321,0.00102,35.21
077,00048,1.305344,0.00104,36.28
078,00048,1.275159,0.00105,36.32
079,00048,1.258835,0.00101,35.09
080,00048,1.282839,0.00101,34.85
081,00048,1.306480,0.00102,35.10
082,00048,1.278518,0.00101,34.93
083,00048,1.280676,0.00099,34.22
084,00048,1.250978,0.00100,34.36
085,00048,1.267995,0.00099,34.47
086,00048,1.230633,0.00099,34.09
087,00048,1.233982,0.00098,33.94
088,00048,1.255831,0.00099,34.12
089,00048,1.233850,0.00098,34.04
090,00048,1.242485,0.00098,33.90
091,00048,1.198315,0.00096,33.87
092,00048,1.211183,0.00096,33.20
093,00048,1.202876,0.00097,33.45
094,00048,1.213233,0.00095,32.89
095,00048,1.159716,0.00095,33.05
096,00048,1.187031,0.00095,32.74
097,00048,1.187823,0.00095,32.75
098,00048,1.203903,0.00095,32.84
099,00048,1.203917,0.00095,32.94
100,00048,1.191541,0.00095,32.84
101,00000,0.000000,0.00000,37.40
