epoch,time(s),train_loss,test_loss,test_error(%)
001,00051,2.172004,0.00209,82.92
002,00048,2.048744,0.00198,80.31
003,00048,1.918063,0.00183,72.78
004,00048,1.867935,0.00181,70.91
005,00047,1.791710,0.00164,63.36
006,00048,1.718116,0.00159,60.25
007,00048,1.711493,0.00153,60.95
008,00048,1.676205,0.00150,56.91
009,00048,1.639639,0.00142,54.66
010,00048,1.582615,0.00142,51.90
011,00048,1.523763,0.00136,48.47
012,00048,1.537924,0.00142,54.81
013,00048,1.526442,0.00144,55.40
014,00048,1.458785,0.00132,50.35
015,00048,1.439115,0.00127,45.28
016,00047,1.445478,0.00132,46.47
017,00048,1.411783,0.00125,43.22
018,00048,1.427636,0.00117,40.32
019,00048,1.414061,0.00115,37.81
020,00047,1.363503,0.00112,36.54
021,00048,1.374608,0.00131,44.93
022,00048,1.333273,0.00116,37.80
023,00047,1.348310,0.00109,36.08
024,00048,1.307773,0.00108,37.52
025,00048,1.294511,0.00111,37.60
026,00048,1.297170,0.00104,33.46
027,00048,1.276534,0.00106,33.40
028,00047,1.279746,0.00104,31.93
029,00048,1.232976,0.00103,32.30
030,00048,1.231548,0.00101,32.18
031,00048,1.209026,0.00097,31.22
032,00048,1.233008,0.00096,30.11
033,00047,1.188897,0.00100,31.55
034,00047,1.173742,0.00098,29.82
035,00047,1.160603,0.00102,30.81
036,00048,1.204678,0.00100,32.65
037,00048,1.157725,0.00094,27.60
038,00047,1.182076,0.00097,29.40
039,00047,1.153055,0.00094,29.31
040,00048,1.130188,0.00260,57.23
041,00048,1.145429,0.00087,26.91
042,00048,1.090154,0.00099,30.78
043,00048,1.113559,0.00086,25.22
044,00047,1.040207,0.00087,25.52
045,00048,1.067742,0.00090,26.51
046,00048,1.052536,0.00086,24.98
047,00047,1.115673,0.00093,27.59
048,00047,1.099100,0.00084,26.60
049,00048,0.993184,0.00086,26.46
050,00048,1.047139,0.00085,26.36
051,00048,1.071680,0.00081,23.86
052,00048,1.029539,0.00084,25.06
053,00047,1.029054,0.00083,26.32
054,00048,1.052154,0.00083,24.39
055,00048,0.985933,0.00082,23.03
056,00048,0.983481,0.00080,22.89
057,00048,0.960885,0.00077,22.40
058,00047,0.981251,0.00078,23.03
059,00048,0.942236,0.00077,22.64
060,00048,0.946744,0.00075,22.12
061,00047,0.940191,0.00076,24.00
062,00048,0.921032,0.00077,21.76
063,00048,0.910018,0.00075,21.14
064,00048,0.901819,0.00073,20.73
065,00048,0.923831,0.00073,21.10
066,00048,0.909908,0.00073,20.70
067,00048,0.907134,0.00072,21.07
068,00048,0.914529,0.00070,20.90
069,00048,0.879247,0.00070,20.32
070,00048,0.843447,0.00071,20.09
071,00048,0.871853,0.00070,19.87
072,00048,0.853896,0.00068,19.62
073,00047,0.867570,0.00068,20.17
074,00048,0.879525,0.00068,19.88
075,00048,0.850216,0.00068,19.33
076,00047,0.822328,0.00067,19.16
077,00048,0.824147,0.00067,19.14
078,00048,0.793213,0.00066,18.74
079,00048,0.832134,0.00067,18.74
080,00047,0.811612,0.00066,18.97
081,00048,0.782209,0.00067,18.72
082,00047,0.771990,0.00065,18.35
083,00048,0.736835,0.00065,19.04
084,00047,0.815546,0.00065,18.38
085,00047,0.798310,0.00064,18.43
086,00048,0.769305,0.00064,18.51
087,00048,0.763702,0.00064,18.25
088,00048,0.766487,0.00064,18.18
089,00048,0.781055,0.00064,18.11
090,00048,0.736510,0.00064,17.90
091,00047,0.754770,0.00064,18.12
092,00047,0.733641,0.00063,18.18
093,00048,0.726856,0.00063,18.27
094,00047,0.749062,0.00063,18.02
095,00047,0.747312,0.00063,17.95
096,00048,0.773685,0.00063,17.90
097,00047,0.768235,0.00064,17.91
098,00048,0.722005,0.00063,17.87
099,00048,0.751423,0.00063,17.92
100,00047,0.741087,0.00063,17.99
101,00000,0.000000,0.00000,23.98
