epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,1.774069,0.00158,56.72
002,00048,1.566125,0.00142,50.12
003,00048,1.405642,0.00120,42.92
004,00048,1.332056,0.00120,40.40
005,00048,1.257314,0.00102,34.79
006,00048,1.193917,0.00095,31.71
007,00048,1.140470,0.00091,31.07
008,00048,1.162290,0.00089,29.73
009,00048,1.082149,0.00084,28.26
010,00048,1.071169,0.00085,28.89
011,00048,1.033472,0.00092,30.71
012,00048,1.050923,0.00082,27.76
013,00048,1.010069,0.00082,27.45
014,00048,0.972961,0.00082,27.21
015,00048,0.983959,0.00075,24.69
016,00048,0.972219,0.00076,24.98
017,00048,0.958282,0.00077,25.57
018,00048,0.981266,0.00077,25.92
019,00048,0.933707,0.00070,22.56
020,00048,0.957555,0.00081,26.79
021,00048,0.948338,0.00069,22.26
022,00048,0.901876,0.00070,23.04
023,00048,0.933509,0.00070,23.14
024,00048,0.921014,0.00076,25.18
025,00048,0.928992,0.00075,25.43
026,00048,0.909858,0.00070,23.01
027,00048,0.925787,0.00077,25.58
028,00048,0.933540,0.00073,24.69
029,00048,0.939145,0.00071,23.40
030,00048,0.879588,0.00065,21.17
031,00048,0.870879,0.00068,23.14
032,00048,0.909539,0.00067,22.01
033,00048,0.870151,0.00072,24.56
034,00048,0.868780,0.00065,21.62
035,00048,0.891950,0.00065,21.11
036,00048,0.875404,0.00077,27.34
037,00048,0.858431,0.00068,23.15
038,00048,0.905691,0.00067,22.05
039,00048,0.848420,0.00063,20.50
040,00048,0.827599,0.00063,20.98
041,00048,0.864799,0.00072,24.47
042,00048,0.813147,0.00068,23.03
043,00048,0.844879,0.00062,20.46
044,00048,0.794782,0.00068,22.51
045,00048,0.796433,0.00062,20.62
046,00048,0.804888,0.00063,20.80
047,00048,0.817160,0.00066,21.64
048,00048,0.838515,0.00061,20.16
049,00048,0.774918,0.00059,19.71
050,00048,0.781170,0.00061,20.75
051,00048,0.802681,0.00065,22.27
052,00048,0.774701,0.00058,18.60
053,00048,0.758129,0.00061,20.45
054,00048,0.795488,0.00060,19.64
055,00048,0.763466,0.00057,19.08
056,00048,0.760950,0.00056,18.48
057,00048,0.729742,0.00056,18.43
058,00048,0.751446,0.00059,20.14
059,00048,0.699285,0.00054,18.08
060,00048,0.718353,0.00055,18.48
061,00048,0.710245,0.00056,18.50
062,00048,0.696062,0.00054,18.14
063,00048,0.684905,0.00053,17.29
064,00048,0.677901,0.00051,16.59
065,00048,0.710549,0.00050,16.66
066,00048,0.696007,0.00049,16.26
067,00048,0.688263,0.00048,15.91
068,00048,0.696004,0.00050,16.44
069,00048,0.674191,0.00048,15.64
070,00048,0.616066,0.00048,16.15
071,00048,0.632037,0.00046,15.20
072,00048,0.616268,0.00047,15.88
073,00048,0.627652,0.00045,15.09
074,00048,0.614472,0.00044,14.64
075,00048,0.592583,0.00046,14.87
076,00048,0.563019,0.00043,14.21
077,00048,0.570520,0.00042,13.74
078,00048,0.557803,0.00041,13.42
079,00048,0.552980,0.00041,13.61
080,00048,0.545347,0.00042,14.15
081,00048,0.526432,0.00041,13.78
082,00048,0.522398,0.00039,12.75
083,00048,0.491168,0.00039,13.42
084,00048,0.485729,0.00038,12.86
085,00048,0.502797,0.00038,13.01
086,00048,0.479389,0.00037,12.39
087,00048,0.450754,0.00037,12.75
088,00048,0.473418,0.00036,12.16
089,00048,0.453103,0.00035,12.21
090,00048,0.420266,0.00035,11.87
091,00048,0.411268,0.00035,11.67
092,00048,0.392986,0.00034,11.80
093,00048,0.383409,0.00034,11.60
094,00048,0.369270,0.00034,11.44
095,00048,0.390939,0.00033,11.35
096,00048,0.393482,0.00033,11.22
097,00048,0.373193,0.00033,11.29
098,00048,0.349922,0.00033,11.20
099,00048,0.383332,0.00033,11.04
100,00048,0.351001,0.00033,11.24
101,00000,0.000000,0.00000,16.67
